concept_id	concept_name	domain_id	vocabulary_id	concept_class_id	standard_concept	concept_code	valid_start_date	valid_end_date	invalid_reason
35206404	Other and unspecified T-cell lymphomas, extranodal and solid organ sites	Condition	ICD10CM	5-char billing code		C84.59	2007-01-01	2009-12-31	D
35206403	Other and unspecified T-cell lymphomas, lymph nodes of multiple sites	Condition	ICD10CM	5-char billing code		C84.58	2007-01-01	2009-12-31	D
35208320	Gastrointestinal mucositis (ulcerative)	Condition	ICD10CM	5-char billing code		K63.82	2007-01-01	2009-12-31	D
35206398	Other and unspecified T-cell lymphomas, intra-abdominal lymph nodes	Condition	ICD10CM	5-char billing code		C84.53	2007-01-01	2009-12-31	D
35206337	Other types of follicular non-Hodgkin's lymphoma, intrathoracic lymph nodes	Condition	ICD10CM	5-char billing code		C82.72	2007-01-01	2009-12-31	D
35207389	Other migraine, intractable	Condition	ICD10CM	6-char billing code		G43.891	2007-01-01	2009-12-31	D
35224394	Sequela of nuclear weapons (during) (following) war operations, civilian injured due to friendly fire, subsequent encounter	Condition	ICD10CM	7-char billing code		Y36.534D	2007-01-01	2009-12-31	D
35217952	Toxic effect of other metals, undetermined, sequela	Condition	ICD10CM	7-char billing code		T56.8x4S	2007-01-01	2009-12-31	D
35216349	Poisoning by psychostimulants with abuse potential, assault, subsequent encounter	Condition	ICD10CM	7-char billing code		T43.6x3D	2007-01-01	2009-12-31	D
35224258	War operations involving helicopter, civilian injured due to friendly fire, initial encounter	Condition	ICD10CM	7-char billing code		Y36.114A	2007-01-01	2009-12-31	D
35224444	Military operations involving explosion of marine weapons and military watercraft, civilian injured due to friendly fire, initial encounter	Condition	ICD10CM	7-char billing code		Y37.0x4A	2007-01-01	2009-12-31	D
35224302	Fire due to conventional weapon during war operations, military personnel injured due to friendly fire, sequela	Condition	ICD10CM	7-char billing code		Y36.312S	2007-01-01	2009-12-31	D
35223010	Accidental handgun discharge, sequela	Condition	ICD10CM	7-char billing code		W32.xxxS	2007-01-01	2009-12-31	D
35224446	Military operations involving explosion of marine weapons and military watercraft, civilian injured due to friendly fire, sequela	Condition	ICD10CM	7-char billing code		Y37.0x4S	2007-01-01	2009-12-31	D
35224341	Other cause of injury due to fire, conflagrations and hot substances during war operations, military personnel injured due to enemy fire, sequela	Condition	ICD10CM	7-char billing code		Y36.351S	2007-01-01	2009-12-31	D
35224508	Fire due to fire-producing device during military operations, civilian injured due to enemy fire, subsequent encounter	Condition	ICD10CM	7-char billing code		Y37.323D	2007-01-01	2009-12-31	D
